NAME,HOSPITAL,hospital_schema,IP,T,C1,C2
명지병원 ,MJH,MJH_5.3.0_02,192.168.1.232,447,448,449
강동성심,KDH,KDH_5.3.0_03,211.205.78.25,664,665,666
부산대,PNUH,PNUH_5.3.0_02,200.2.10.230,686,687,688
강원대,KWMC,KWMC_5.3.1_04,172.16.21.26,761,762,763
이화의료,EUMC,EUMC_5.3.1_02,172.16.2.110,813,814,815
강동경희,KHNMC,KHNMC_5.3.0_03,192.168.50.1,808,809,810
인하대,INHA,INHA_5.3.0_01,128.1.70.66,508,509,510
경희의료원,KHMC,KHMC_5.3.0_01,10.1.100.20,581,582,583
원광대,WKUH,WKUH_5.3.0_03,172.16.200.1,813,814,815
대구카톨릭,DCMC,DCMC_5.3.1_02,192.168.209.61,851,852,853
인천세종,SEJONG_ICN,SEJONG_ICN_5.3.1_02,10.101.1.192,357,358,359
부천세종,SEJONG_BCN,SEJONG_BCN_5.3.1_02,10.101.1.193,421,422,423
원주세브란스,YWMC,YWMC_5.3.1_02,192.168.11.159,814,815,816
순천향천안,SCHCA,SCHCA_5.3.1_02,172.17.61.234,776,777,778
순천향서울,SCHSU,SCHSU_5.3.1_02,172.17.61.232,869,870,871
아주대,AUMC,AUMC_5.3.1_06,10.5.99.58,3422,3423,3424
분당차병원 ,CHAMC,CHAMC_5.3.0_01,10.16.1.101,705,707,706
에비드넷,synpuf,FNET_SYNPUF,203.245.2.197,3473,3474,3475
에비드넷,synpuf,FNET_SYNPUF,203.245.2.202,2481,2482,2483
